date,ticker,price
2024-01-01,AAPL,149.9481473378034
2024-01-02,AAPL,150.44516366481997
2024-01-03,AAPL,150.43047244239193
2024-01-04,AAPL,151.68975284390447
2024-01-05,AAPL,151.71836340344464
2024-01-06,AAPL,152.4625435208024
2024-01-07,AAPL,151.99153569791466
2024-01-08,AAPL,151.80143944672903
2024-01-09,AAPL,152.3957972700743
2024-01-10,AAPL,152.30821119059033
2024-01-11,AAPL,150.7773743291496
2024-01-12,AAPL,150.48391334470585
2024-01-13,AAPL,150.6558394200152
2024-01-14,AAPL,149.07936679831923
2024-01-15,AAPL,148.74211589264354
2024-01-16,AAPL,149.02815808848595
2024-01-17,AAPL,149.311316239761
2024-01-18,AAPL,148.28541150249382
2024-01-19,AAPL,148.8698584676053
2024-01-20,AAPL,150.10342981845238
